Chain,PaymentMethod,PurchaseAmount
Major B,Check,121.16
Major B,Check,121.08
Major B,Cash,121.04
Major A,Check,121.03
Major A,Cash,121.01
Other,Check,120.9
Regional C,Check,120.87
Major B,StoreCard,120.87
Regional C,StoreCard,120.81
Major D,Cash,120.76
Major A,Cash,120.73
Major E,StoreCard,120.7
Major B,StoreCard,120.59
Major B,StoreCard,120.59
Major B,Check,120.58
Major B,Check,120.58
Major A,Cash,120.53
Major D,StoreCard,120.49
Major D,Check,120.46
Major B,Check,120.45
Major B,StoreCard,120.44
Regional D,StoreCard,120.41
Other,Cash,120.36
Major B,StoreCard,120.34
Other,Check,120.33
Other,DebitCard,120.33
Major B,Cash,120.26
Major D,StoreCard,120.23
Major B,StoreCard,120.22
Major E,Cash,120.19
Major A,Cash,120.16
Other,Check,120.14
Major D,Check,120.13
Major A,Cash,120.03
Regional B,Cash,120.02
Major B,Cash,120.01
Regional B,Cash,119.93
Regional C,StoreCard,119.89
Major E,Cash,119.87
Major D,StoreCard,119.86
Major E,DebitCard,119.86
Major E,Cash,119.85
Major A,Cash,119.84
Major E,Check,119.83
Major D,Check,119.77
Major A,DebitCard,119.75
Major B,StoreCard,119.7
Major B,StoreCard,119.67
Major A,Check,119.62
Major B,StoreCard,119.51
Major D,StoreCard,119.5
Major D,Check,119.5
Regional C,Check,119.45
Other,StoreCard,119.4
Major A,Cash,119.37
Major D,StoreCard,119.35
Major A,Cash,119.34
Major D,StoreCard,119.32
Major D,Cash,119.31
Regional C,Cash,119.22
Regional C,StoreCard,119.19
Major B,Cash,119.16
Major E,StoreCard,119.1
Regional C,Check,119.09
Major B,DebitCard,119.08
Regional B,DebitCard,119.07
Regional B,Cash,119.01
Major D,Cash,118.95
Major A,Cash,118.93
Major A,Cash,118.93
Other,Cash,118.91
Other,DebitCard,118.9
Major A,Cash,118.86
Major D,StoreCard,118.85
Major A,Cash,118.82
Major B,Cash,118.78
Major B,StoreCard,118.76
Other,Check,118.75
Other,DebitCard,118.72
Major E,Cash,118.72
Other,StoreCard,118.65
Other,Cash,118.56
Major A,Cash,118.55
Major A,Cash,118.52
Major A,Cash,118.51
Regional C,Check,118.48
Major B,StoreCard,118.41
Major A,Cash,118.4
Regional C,DebitCard,118.31
Regional B,Check,118.31
Other,Cash,118.3
Major A,DebitCard,118.28
Major E,Check,118.28
Other,Cash,118.26
Major B,Check,118.23
Major D,Check,118.21
Major B,StoreCard,118.2
Major A,Check,118.17
Major D,Check,118.16
Regional A,StoreCard,118.14
Major A,DebitCard,118.09
Major A,DebitCard,118.01
Major B,Cash,117.95
Other,Cash,117.94
Regional C,DebitCard,117.91
Other,StoreCard,117.9
Major B,StoreCard,117.9
Minor B,Check,117.71
Other,Cash,117.68
Major A,DebitCard,117.67
Regional D,StoreCard,117.63
Major A,Cash,117.58
Other,Check,117.55
Major B,StoreCard,117.52
Other,Cash,117.51
Major E,Cash,117.46
Regional D,Check,117.44
Major B,Cash,117.41
Major A,Cash,117.37
Other,Cash,117.33
Major E,Cash,117.33
Regional D,Check,117.32
Major E,StoreCard,117.3
Other,Cash,117.26
Major A,Cash,117.24
Major A,Cash,117.19
Major E,Cash,117.16
Major A,Cash,117.11
Major A,Cash,117.09
Major A,Cash,117.03
Major E,Check,116.96
Regional D,Cash,116.94
Regional A,Check,116.94
Major B,Cash,116.82
Regional C,Cash,116.82
Other,Check,116.8
Major E,Check,116.79
Other,Cash,116.79
Major D,Check,116.77
Major A,Cash,116.75
Regional D,Cash,116.75
Major D,StoreCard,116.74
Regional D,StoreCard,116.72
Major A,Cash,116.72
Other,Cash,116.68
Regional D,StoreCard,116.68
Other,StoreCard,116.67
Regional C,DebitCard,116.63
Major B,StoreCard,116.63
Major D,DebitCard,116.62
Major A,Cash,116.62
Major D,StoreCard,116.6
Other,Cash,116.59
Major A,Cash,116.57
Regional C,StoreCard,116.55
Regional D,StoreCard,116.54
Major B,Check,116.53
Regional C,Cash,116.43
Major A,Check,116.4
Major A,Cash,116.38
Other,StoreCard,116.36
Major A,Cash,116.35
Major A,Cash,116.32
Major D,DebitCard,116.3
Major D,Cash,116.29
Regional A,Check,116.29
Major A,DebitCard,116.27
Major B,Check,116.27
Major D,DebitCard,116.26
Major B,Check,116.24
Regional C,StoreCard,116.23
Major B,Cash,116.19
Major A,Cash,116.16
Major A,Cash,116.16
Regional C,Cash,116.06
Major A,Cash,116.04
Major B,Check,116.03
Other,Check,116.01
Major D,Check,115.97
Major A,Cash,115.91
Other,Cash,115.9
Major D,StoreCard,115.88
Other,DebitCard,115.81
Major D,Cash,115.8
Major B,Cash,115.78
Major A,DebitCard,115.76
Major E,StoreCard,115.74
Major B,Cash,115.74
Major A,Cash,115.73
Regional C,StoreCard,115.67
Major E,Cash,115.65
Major E,StoreCard,115.64
Major B,StoreCard,115.64
Major D,StoreCard,115.63
Major E,Cash,115.52
Major A,Check,115.48
Regional D,Cash,115.47
Major E,StoreCard,115.44
Other,StoreCard,115.41
Major D,Check,115.38
Major A,Cash,115.35
Major D,StoreCard,115.27
Major A,Cash,115.26
Other,StoreCard,115.25
Major E,Cash,115.19
Major A,Cash,115.19
Major A,Check,115.09
Regional D,Check,115.07
Major E,StoreCard,115.06
Major A,Cash,115.05
Regional A,StoreCard,115.05
Major B,StoreCard,115.01
Major E,Check,114.99
Other,Cash,114.9
Major A,Cash,114.87
Other,Cash,114.8
Regional B,Cash,114.73
Other,StoreCard,114.73
Regional D,Cash,114.72
Major A,Cash,114.72
Major A,DebitCard,114.72
Major B,StoreCard,114.69
Other,Check,114.67
Major A,DebitCard,114.67
Major B,Check,114.65
Regional C,StoreCard,114.61
Major A,Check,114.58
Regional C,StoreCard,114.56
Minor B,Cash,114.51
Major E,Cash,114.48
Other,Cash,114.38
Other,Check,114.38
Major B,Check,114.36
Other,Cash,114.36
Major B,StoreCard,114.31
Major B,Cash,114.3
Major A,Cash,114.27
Major D,DebitCard,114.24
Other,StoreCard,114.23
Major B,Check,114.2
Regional D,StoreCard,114.19
Other,Cash,114.14
Major A,Cash,114.1
Regional C,Check,114.1
Major D,Cash,114.1
Regional C,StoreCard,114.08
Regional A,Check,114.08
Regional A,Cash,114.08
Major E,Cash,114.04
Major B,Cash,114.01
Regional A,Cash,113.97
Regional D,StoreCard,113.97
Major B,Check,113.97
Major E,StoreCard,113.95
Regional C,DebitCard,113.93
Major B,StoreCard,113.93
Regional D,Check,113.92
Major A,Cash,113.9
Regional B,Cash,113.89
Major A,Cash,113.88
Major D,StoreCard,113.86
Major E,StoreCard,113.85
Major E,Cash,113.82
Major D,Check,113.82
Other,Check,113.77
Major D,DebitCard,113.73
Major E,Check,113.71
Major A,Cash,113.67
Major E,Check,113.67
Other,Cash,113.65
Major E,StoreCard,113.63
Other,StoreCard,113.59
Regional C,Check,113.58
Major A,Cash,113.47
Regional C,StoreCard,113.45
Regional C,StoreCard,113.44
Other,Cash,113.44
Regional C,StoreCard,113.43
Major B,Cash,113.36
Other,Cash,113.31
Major B,Cash,113.3
Major D,Cash,113.28
Major A,Cash,113.26
Major E,StoreCard,113.22
Major D,Cash,113.17
Regional C,StoreCard,113.16
Regional C,Cash,113.13
Major B,Check,113.12
Regional A,Cash,113.11
Major B,Cash,113.07
Major B,DebitCard,113.07
Major E,Check,113.02
Minor B,DebitCard,113.02
Major A,DebitCard,113.01
Major E,StoreCard,113
Major A,Cash,112.97
Regional D,Cash,112.96
Major A,DebitCard,112.94
Major A,Cash,112.93
Regional A,Cash,112.92
Major A,Cash,112.9
Regional C,Cash,112.89
Major D,Check,112.89
Major D,Cash,112.89
Regional B,Cash,112.88
Major A,Cash,112.88
Other,DebitCard,112.85
Other,StoreCard,112.8
Major D,StoreCard,112.79
Major B,StoreCard,112.78
Major A,DebitCard,112.77
Regional B,Cash,112.77
Major A,Cash,112.7
Major E,Cash,112.69
Other,Cash,112.65
Major B,StoreCard,112.59
Major A,Cash,112.56
Other,Cash,112.54
Major A,Cash,112.54
Regional D,Cash,112.48
Major B,StoreCard,112.4
Major B,Check,112.38
Major E,DebitCard,112.36
Other,Check,112.35
Regional B,Cash,112.35
Major B,StoreCard,112.32
Major B,StoreCard,112.31
Other,Cash,112.31
Major B,StoreCard,112.28
Major D,Check,112.28
Other,StoreCard,112.26
Major B,StoreCard,112.23
Major D,StoreCard,112.21
Regional C,Check,112.2
Regional D,Check,112.2
Other,Cash,112.2
Major B,StoreCard,112.19
Major A,Cash,112.18
Major B,StoreCard,112.14
Major D,Other,112.1
Major A,Cash,112.02
Major A,Cash,112
Other,Cash,111.99
Major D,Check,111.94
Major E,Cash,111.92
Other,Cash,111.86
Major D,StoreCard,111.83
Major E,StoreCard,111.75
Other,Cash,111.73
Other,Cash,111.71
Major A,DebitCard,111.71
Regional A,Check,111.63
Major A,StoreCard,111.6
Major B,Cash,111.54
Major A,Cash,111.53
Major D,Check,111.49
Major D,Check,111.48
Major E,StoreCard,111.42
Regional C,Check,111.41
Regional C,Cash,111.41
Regional D,StoreCard,111.4
Other,Cash,111.36
Other,Check,111.36
Other,Cash,111.36
Major B,Check,111.33
Major A,Cash,111.33
Major A,Cash,111.33
Major A,Check,111.3
Major B,StoreCard,111.27
Major B,StoreCard,111.27
Other,StoreCard,111.22
Major B,Cash,111.09
Major D,StoreCard,111.08
Other,StoreCard,111.08
Major D,Check,111.02
Major B,Cash,111.01
Other,Cash,111.01
Major E,StoreCard,111
Regional B,Check,110.98
Major E,StoreCard,110.95
Major B,StoreCard,110.93
Regional D,StoreCard,110.9
Regional C,Cash,110.87
Major E,Check,110.84
Other,StoreCard,110.83
Regional B,Cash,110.68
Major E,Cash,110.67
Major A,Cash,110.63
Regional A,Check,110.62
Regional C,StoreCard,110.56
Major B,StoreCard,110.55
Regional C,Check,110.55
Major A,Cash,110.54
Major D,Check,110.5
Major B,StoreCard,110.5
Major A,Check,110.48
Major A,Cash,110.43
Regional C,Cash,110.42
Major B,StoreCard,110.4
Major B,StoreCard,110.4
Major E,Cash,110.39
Major A,Cash,110.35
Regional D,Cash,110.35
Major A,Cash,110.33
Major B,StoreCard,110.33
Regional C,StoreCard,110.31
Major B,Cash,110.29
Major E,StoreCard,110.27
Major D,StoreCard,110.25
Regional C,Cash,110.22
Regional D,Check,110.2
Major B,StoreCard,110.17
Major E,Check,110.15
Major B,StoreCard,110.14
Other,Cash,110.13
Other,Check,110.11
Regional C,StoreCard,110.02
Other,Cash,110.02
Major A,Cash,110.02
Major A,Cash,110.02
Other,Cash,110.02
Major B,Cash,109.99
Regional C,Cash,109.97
Major B,StoreCard,109.92
Major D,Check,109.89
Other,Cash,109.87
Other,DebitCard,109.87
Major A,Cash,109.86
Major E,StoreCard,109.85
Other,Cash,109.81
Other,Cash,109.76
Major A,Cash,109.75
Major A,Cash,109.72
Major D,Check,109.7
Major D,Cash,109.67
Regional B,StoreCard,109.66
Major A,Cash,109.64
Major E,Cash,109.64
Major E,Check,109.61
Regional D,Cash,109.52
Major A,Cash,109.5
Major E,Check,109.5
Major A,Cash,109.46
Regional C,Cash,109.45
Other,Cash,109.43
Major E,Cash,109.39
Major A,DebitCard,109.36
Major E,Cash,109.36
Major B,StoreCard,109.36
Regional C,StoreCard,109.36
Major B,Cash,109.31
Major A,Check,109.3
Regional A,Cash,109.27
Major E,Check,109.27
Major B,Cash,109.25
Other,Cash,109.25
Major E,StoreCard,109.24
Major E,StoreCard,109.22
Other,Cash,109.21
Major E,Cash,109.2
Major D,Check,109.19
Other,Cash,109.18
Regional D,Cash,109.17
Major B,Cash,109.17
Major E,DebitCard,109.15
Major A,Cash,109.11
Major A,Check,109.11
Major D,Cash,109.07
Major D,StoreCard,109.06
Other,StoreCard,109.05
Other,Cash,109.03
Major E,Cash,109.02
Major B,StoreCard,108.98
Major B,StoreCard,108.95
Major A,Cash,108.94
Major B,StoreCard,108.92
Major A,Cash,108.9
Major A,Cash,108.9
Other,Check,108.9
Major D,DebitCard,108.89
Other,Check,108.89
Major A,Cash,108.84
Regional A,Cash,108.8
Major D,Check,108.78
Major D,StoreCard,108.77
Major A,Cash,108.76
Major B,StoreCard,108.73
Major D,Cash,108.69
Regional C,StoreCard,108.67
Regional C,StoreCard,108.65
Major E,DebitCard,108.63
Major E,StoreCard,108.63
Regional C,StoreCard,108.62
Regional A,Check,108.59
Other,Cash,108.57
Major E,Check,108.52
Major E,StoreCard,108.5
Regional C,Cash,108.49
Other,StoreCard,108.46
Other,Cash,108.4
Regional C,Check,108.35
Major D,StoreCard,108.35
Major D,StoreCard,108.34
Regional C,StoreCard,108.33
Other,Cash,108.32
Other,Cash,108.29
Other,Cash,108.25
Major A,Cash,108.23
Major A,DebitCard,108.23
Major B,StoreCard,108.22
Major A,DebitCard,108.18
Regional C,Cash,108.17
Major D,Cash,108.13
Regional B,Cash,108.12
Major B,Cash,108.1
Other,Check,108.09
Major E,StoreCard,108.09
Major A,Cash,108.07
Regional C,Cash,108.06
Major D,Check,108.05
Major D,StoreCard,108.04
Major E,Check,108.01
Other,Cash,107.99
Major B,StoreCard,107.98
Major B,DebitCard,107.97
Major A,Cash,107.96
Major D,Cash,107.96
Major A,Check,107.93
Regional C,Check,107.91
Major B,Cash,107.9
Regional C,StoreCard,107.89
Major A,Cash,107.89
Major B,StoreCard,107.88
Regional D,Check,107.88
Other,Cash,107.88
Major B,Cash,107.88
Major A,Cash,107.85
Major B,Check,107.85
Regional B,Cash,107.85
Major D,Cash,107.79
Major B,StoreCard,107.75
Regional C,Cash,107.69
Major E,StoreCard,107.65
Regional C,DebitCard,107.64
Major A,Cash,107.6
Major A,Cash,107.58
Major E,StoreCard,107.56
Major D,Cash,107.53
Regional C,Check,107.52
Major D,StoreCard,107.52
Regional A,Cash,107.51
Major B,StoreCard,107.5
Other,Cash,107.48
Major A,Cash,107.48
Major E,StoreCard,107.47
Major A,DebitCard,107.46
Major D,StoreCard,107.46
Major B,Cash,107.41
Major B,Check,107.41
Major A,Cash,107.4
Major B,Check,107.38
Major E,StoreCard,107.36
Other,Cash,107.35
Other,Check,107.33
Major A,DebitCard,107.32
Regional C,StoreCard,107.29
Regional D,StoreCard,107.29
Other,Cash,107.28
Major A,Cash,107.21
Major D,StoreCard,107.2
Major D,Check,107.16
Regional A,StoreCard,107.16
Major D,Check,107.1
Major A,Cash,107.08
Major D,Check,107.04
Other,Check,106.97
Major B,Check,106.96
Other,Cash,106.94
Regional B,Cash,106.94
Regional A,Check,106.94
Other,DebitCard,106.92
Major B,Check,106.91
Major A,Cash,106.9
Major D,Cash,106.88
Major B,DebitCard,106.88
Major A,Cash,106.84
Other,Cash,106.82
Major D,StoreCard,106.8
Major B,Cash,106.8
Other,Cash,106.8
Other,Cash,106.78
Major E,DebitCard,106.78
Major B,StoreCard,106.77
Major D,Cash,106.76
Major A,DebitCard,106.76
Regional B,DebitCard,106.75
Other,Cash,106.74
Major E,StoreCard,106.73
Major D,Cash,106.7
Major D,Cash,106.7
Major B,StoreCard,106.69
Major D,Check,106.68
Major D,Check,106.68
Major E,Check,106.65
Major B,StoreCard,106.64
Major D,Cash,106.62
Major D,StoreCard,106.56
Major A,Cash,106.54
Other,StoreCard,106.48
Major B,Check,106.38
Major A,Cash,106.34
Major E,StoreCard,106.3
Major A,Cash,106.3
Regional C,Check,106.29
Other,Cash,106.29
Major D,Check,106.26
Major E,Cash,106.19
Major B,StoreCard,106.19
Other,Cash,106.18
Regional D,Cash,106.17
Major B,StoreCard,106.16
Major A,Cash,106.15
Regional B,Check,106.15
Regional D,Check,106.15
Other,Cash,106.15
Regional C,Check,106.15
Other,Cash,106.14
Regional D,Check,106.12
Major E,StoreCard,106.11
Major A,Cash,106.08
Major B,DebitCard,106.06
Regional D,Cash,106.03
Major B,DebitCard,106.02
Major D,Check,106.02
Major B,StoreCard,106.02
Major A,Cash,106.01
Other,Cash,105.9
Major B,Cash,105.9
Major D,StoreCard,105.87
Major A,Cash,105.86
Major B,Cash,105.83
Regional A,Check,105.82
Other,Cash,105.82
Major E,StoreCard,105.82
Major D,StoreCard,105.81
Major A,Cash,105.79
Other,Cash,105.78
Major B,StoreCard,105.73
Major E,StoreCard,105.71
Other,Cash,105.7
Major E,Check,105.7
Other,Cash,105.7
Major A,DebitCard,105.67
Major B,Cash,105.66
Other,Cash,105.64
Major A,Cash,105.62
Regional A,Other,105.59
Major A,DebitCard,105.59
Major A,Cash,105.55
Major A,Cash,105.5
Major B,Cash,105.46
Other,StoreCard,105.45
Major D,StoreCard,105.43
Other,Check,105.42
Major B,Check,105.41
Major B,Cash,105.4
Regional D,Cash,105.39
Major B,Cash,105.36
Other,Cash,105.34
Major B,StoreCard,105.32
Other,Cash,105.3
Major A,Check,105.18
Major B,StoreCard,105.12
Major A,Cash,105.1
Major D,Check,105.05
Regional C,Cash,105.04
Major E,StoreCard,105.03
Major E,StoreCard,105.02
Major D,Cash,105
Major D,Cash,105
Major A,DebitCard,104.99
Major A,Cash,104.99
Major B,StoreCard,104.96
Major E,StoreCard,104.93
Major A,Cash,104.9
Major D,Check,104.88
Major D,Check,104.88
Other,Cash,104.79
Other,Cash,104.79
Regional C,StoreCard,104.79
Major D,Check,104.78
Other,Cash,104.78
Major A,DebitCard,104.72
Major D,Cash,104.69
Regional A,Cash,104.69
Major D,StoreCard,104.68
Regional A,DebitCard,104.68
Major D,Check,104.66
Major A,Cash,104.64
Major B,Check,104.62
Other,Cash,104.62
Regional C,StoreCard,104.61
Regional C,Check,104.53
Major E,StoreCard,104.53
Major B,StoreCard,104.52
Major B,StoreCard,104.48
Major B,StoreCard,104.47
Regional D,StoreCard,104.45
Regional C,StoreCard,104.43
Other,Cash,104.41
Major D,Cash,104.35
Major B,StoreCard,104.32
Major E,Cash,104.32
Major D,Cash,104.31
Major B,Cash,104.3
Regional D,Cash,104.28
Other,Check,104.28
Major E,Cash,104.23
Regional C,StoreCard,104.22
Major D,StoreCard,104.15
Other,Cash,104.14
Regional C,Cash,104.13
Major A,Cash,104.08
Regional D,StoreCard,104.07
Major A,Cash,104.03
Major D,Check,104.03
Regional C,StoreCard,104.02
Major A,Cash,103.97
Major A,Cash,103.96
Major A,Cash,103.96
Major A,Cash,103.92
Major D,StoreCard,103.88
Other,Cash,103.88
Major A,Cash,103.75
Major A,Cash,103.74
Major B,Check,103.73
Regional D,StoreCard,103.73
Major B,StoreCard,103.72
Other,Cash,103.71
Major A,Cash,103.68
Major D,StoreCard,103.67
Regional C,Cash,103.64
Major B,DebitCard,103.59
Major A,Cash,103.58
Regional C,StoreCard,103.5
Major A,Cash,103.5
Major A,Cash,103.5
Major A,DebitCard,103.49
Major D,Check,103.45
Major E,Cash,103.45
Major B,StoreCard,103.44
Major E,StoreCard,103.44
Other,Check,103.41
Regional A,DebitCard,103.41
Major D,Cash,103.39
Other,Cash,103.39
Regional D,DebitCard,103.38
Major A,Cash,103.38
Major A,Cash,103.35
Other,StoreCard,103.34
Major D,DebitCard,103.32
Major A,Cash,103.32
Major A,Cash,103.3
Major B,StoreCard,103.28
Major A,DebitCard,103.26
Major A,Cash,103.23
Regional C,DebitCard,103.23
Regional C,Cash,103.19
Major B,StoreCard,103.17
Other,Cash,103.14
Major B,Cash,103.14
Major B,Check,103.13
Major B,Cash,103.12
Major A,Cash,103.12
Major D,Check,103.1
Major A,DebitCard,103.09
Major A,Cash,103.09
Regional C,Check,103.08
Other,Check,103.02
Regional C,Cash,103.01
Regional C,StoreCard,102.99
Major B,Check,102.97
Major E,Cash,102.96
Major D,Check,102.92
Major A,Cash,102.91
Other,Check,102.88
Other,Cash,102.88
Major A,Check,102.87
Major E,StoreCard,102.87
Major B,StoreCard,102.86
Regional D,Cash,102.8
Major A,Cash,102.8
Major E,StoreCard,102.78
Major A,Check,102.77
Major B,StoreCard,102.75
Major A,DebitCard,102.75
Major A,Cash,102.74
Major A,Cash,102.73
Major B,Cash,102.73
Major E,StoreCard,102.72
Other,Check,102.71
Major B,Cash,102.68
Major D,Check,102.68
Major A,Cash,102.67
Regional C,StoreCard,102.66
Regional D,Check,102.64
Major D,Cash,102.63
Major A,DebitCard,102.63
Major E,StoreCard,102.59
Major A,Cash,102.57
Major E,Cash,102.53
Major B,Cash,102.53
Major B,Cash,102.52
Major A,Cash,102.51
Major B,StoreCard,102.5
Major A,Cash,102.49
Major A,Cash,102.47
Major A,Cash,102.45
Major A,Cash,102.44
Major B,Cash,102.44
Major A,Cash,102.42
Major B,Check,102.42
Major B,StoreCard,102.38
Major B,StoreCard,102.35
Major D,StoreCard,102.34
Major A,Check,102.34
Regional D,DebitCard,102.32
Regional C,Cash,102.32
Major D,Check,102.27
Major A,Cash,102.25
Major B,Cash,102.22
Regional D,StoreCard,102.18
Major A,Cash,102.18
Other,Check,102.15
Regional C,StoreCard,102.13
Major A,Check,102.12
Major A,DebitCard,102.12
Other,Cash,102
Other,Cash,101.98
Other,Cash,101.96
Major A,Cash,101.95
Other,Cash,101.93
Regional C,StoreCard,101.89
Major A,Cash,101.89
Other,StoreCard,101.88
Major B,Cash,101.82
Major B,Check,101.82
Major B,StoreCard,101.79
Major D,Check,101.77
Major B,Cash,101.76
Regional D,StoreCard,101.75
Major D,StoreCard,101.75
Major A,Cash,101.74
Major B,StoreCard,101.73
Major B,Cash,101.72
Major E,Cash,101.72
Major D,Check,101.69
Major A,Cash,101.68
Regional A,Check,101.66
Major E,Check,101.66
Major B,Check,101.64
Major D,Cash,101.63
Major B,Check,101.57
Regional C,Cash,101.56
Major E,StoreCard,101.54
Major D,Other,101.53
Other,Cash,101.52
Major A,Cash,101.5
Other,Cash,101.5
Major E,Cash,101.46
Other,Cash,101.44
Major A,DebitCard,101.43
Regional C,StoreCard,101.41
Major D,StoreCard,101.39
Major B,Cash,101.33
Major D,StoreCard,101.33
Regional B,Cash,101.3
Major A,Cash,101.29
Other,Cash,101.26
Major B,Check,101.2
Major B,StoreCard,101.17
Regional C,Check,101.15
Major B,StoreCard,101.12
Major D,StoreCard,101.09
Other,Cash,101.05
Major B,Cash,101.04
Major E,StoreCard,101.03
Major A,Cash,101.02
Major A,Cash,101.02
Other,Cash,100.98
Regional B,Cash,100.96
Major E,StoreCard,100.93
Other,Cash,100.92
Major D,Check,100.92
Regional D,Check,100.91
Major D,Check,100.88
Major D,Cash,100.87
Major E,Check,100.86
Major A,Cash,100.85
Regional C,Check,100.85
Other,DebitCard,100.84
Major D,StoreCard,100.83
Major D,DebitCard,100.81
Regional C,Cash,100.77
Major B,Cash,100.74
Major E,DebitCard,100.73
Regional A,Cash,100.71
Major A,Cash,100.7
Major A,Cash,100.69
Major D,StoreCard,100.68
Other,Check,100.68
Major B,Cash,100.66
Other,Cash,100.65
Major A,Cash,100.64
Major B,Cash,100.59
Major B,Check,100.57
Major D,Cash,100.57
Major A,Cash,100.56
Major A,Cash,100.53
Major D,StoreCard,100.52
Major A,Cash,100.52
Minor B,Check,100.5
Major B,Cash,100.48
Regional B,StoreCard,100.45
Major A,Cash,100.43
Major B,Cash,100.41
Major E,Check,100.41
Major B,Cash,100.38
Regional B,Cash,100.38
Major A,DebitCard,100.37
Major D,Check,100.32
Major A,Cash,100.29
Major E,Check,100.29
Major E,Check,100.28
Other,Cash,100.21
Other,Other,100.2
Major A,DebitCard,100.17
Major E,Cash,100.13
Other,Cash,100.11
Other,Cash,100.1
Regional C,Cash,100.1
Major A,Cash,100.1
Major B,StoreCard,100.08
Major D,Check,100.01
Major E,Check,99.99
Major B,Cash,99.98
Major A,Cash,99.98
Major E,Check,99.96
Regional C,StoreCard,99.96
Major E,StoreCard,99.94
Other,Cash,99.92
Major B,Cash,99.87
Major B,StoreCard,99.87
Major A,Cash,99.83
Major D,Check,99.8
Major E,Cash,99.76
Major B,Cash,99.71
Major A,Cash,99.7
Major A,DebitCard,99.7
Major D,Check,99.7
Other,Cash,99.69
Other,Cash,99.68
Other,Cash,99.63
Major A,Cash,99.56
Major B,StoreCard,99.54
Major D,Cash,99.49
Major B,Cash,99.46
Regional A,StoreCard,99.45
Major B,StoreCard,99.43
Major D,Cash,99.42
Major B,Check,99.36
Regional D,Cash,99.36
Regional A,Check,99.33
Other,Cash,99.32
Major B,StoreCard,99.32
Major D,Cash,99.31
Major E,Check,99.27
Major E,StoreCard,99.27
Major B,StoreCard,99.25
Major B,StoreCard,99.24
Other,Cash,99.24
Regional C,Check,99.23
Major B,Cash,99.22
Regional C,Cash,99.21
Major B,Check,99.16
Major A,Cash,99.16
Other,Cash,99.12
Major B,Check,99.11
Major B,StoreCard,99.1
Major B,Cash,99.1
Regional C,DebitCard,99
Regional A,Cash,98.96
Major A,Cash,98.92
Major B,Cash,98.91
Other,DebitCard,98.91
Major D,DebitCard,98.89
Regional D,Cash,98.87
Regional C,Cash,98.87
Other,Check,98.87
Major E,Cash,98.87
Regional C,Cash,98.84
Major D,DebitCard,98.82
Major A,Cash,98.79
Major A,Cash,98.78
Major B,Cash,98.78
Regional B,Check,98.78
Other,DebitCard,98.76
Major A,Cash,98.76
Major A,Cash,98.7
Regional C,Check,98.66
Major B,StoreCard,98.65
Major B,Cash,98.64
Regional C,Check,98.63
Major E,Check,98.62
Other,StoreCard,98.62
Major B,DebitCard,98.61
Major B,StoreCard,98.6
Major B,Cash,98.6
Other,Cash,98.59
Regional B,StoreCard,98.58
Major D,Cash,98.58
Major A,Cash,98.57
Major D,StoreCard,98.57
Major E,StoreCard,98.56
Regional C,Check,98.54
Major D,Check,98.52
Major A,Cash,98.5
Major D,Cash,98.49
Major D,StoreCard,98.47
Major A,Cash,98.45
Major D,Cash,98.41
Major D,Check,98.35
Major E,Cash,98.34
Major B,Cash,98.32
Major B,Cash,98.31
Major B,StoreCard,98.3
Regional A,StoreCard,98.25
Major A,Cash,98.24
Major B,StoreCard,98.23
Major A,DebitCard,98.23
Major B,StoreCard,98.21
Regional C,Cash,98.2
Regional C,Cash,98.15
Major A,Cash,98.15
Other,Cash,98.15
Regional B,Cash,98.13
Major E,StoreCard,98.12
Major E,Cash,98.06
Major D,Check,98.05
Regional B,StoreCard,98.03
Major A,DebitCard,98.01
Major D,DebitCard,98.01
Major B,StoreCard,97.97
Major B,StoreCard,97.95
Other,Check,97.95
Regional C,Cash,97.93
Major E,Check,97.93
Regional C,Cash,97.9
Major E,StoreCard,97.85
Major A,Cash,97.84
Major B,StoreCard,97.82
Major A,Cash,97.77
Major D,Cash,97.76
Other,Check,97.74
Other,Cash,97.73
Minor G,Cash,97.7
Major D,Cash,97.67
Regional D,StoreCard,97.67
Regional A,Check,97.67
Other,Cash,97.67
Major A,Check,97.64
Major B,StoreCard,97.6
Major B,StoreCard,97.6
Other,Check,97.59
Major A,Cash,97.59
Other,Cash,97.57
Major E,StoreCard,97.56
Major D,DebitCard,97.49
Other,Cash,97.47
Major D,Check,97.46
Other,Check,97.43
Major A,Cash,97.43
Major E,StoreCard,97.42
Other,Cash,97.42
Major B,DebitCard,97.41
Major E,StoreCard,97.41
Major B,Check,97.36
Major B,StoreCard,97.35
Major A,Cash,97.35
Regional C,Check,97.34
Major A,Cash,97.34
Major A,Cash,97.32
Major B,StoreCard,97.3
Major B,Cash,97.3
Major A,Cash,97.29
Major B,Cash,97.28
Major D,StoreCard,97.28
Other,Cash,97.27
Other,StoreCard,97.27
Other,Cash,97.26
Major A,Cash,97.26
Major E,Cash,97.24
Other,StoreCard,97.23
Major A,Cash,97.22
Major E,StoreCard,97.22
Regional D,Cash,97.15
Regional B,Check,97.15
Regional C,StoreCard,97.13
Major D,Cash,97.11
Major A,Cash,97.1
Major A,DebitCard,97.07
Other,StoreCard,97.03
Major E,Cash,97.03
Regional A,Check,96.98
Major B,StoreCard,96.96
Major B,DebitCard,96.95
Major A,Cash,96.92
Regional D,Cash,96.87
Major D,Check,96.82
Major A,Cash,96.82
